x,y,combined_info
6899.0,1161.0,Enterocyte_Cell Type
5812.0,1171.0,Enterocyte_Cell Type
7402.0,5829.0,Enterocyte_Cell Type
5732.0,3321.0,Enterocyte_Cell Type
7844.0,4204.0,Enterocyte_Cell Type
7918.0,6272.0,Enterocyte_Cell Type
8974.0,6954.0,Enterocyte_Cell Type
6125.0,2617.0,Enterocyte_Cell Type
6499.0,5531.0,Enterocyte_Cell Type
3952.0,4163.0,Enterocyte_Cell Type
7477.0,6280.0,Enterocyte_Cell Type
7185.0,7460.0,Enterocyte_Cell Type
7684.0,7806.0,Enterocyte_Cell Type
8917.0,7140.0,Enterocyte_Cell Type
7337.0,3307.0,Enterocyte_Cell Type
6483.0,3939.0,Enterocyte_Cell Type
4955.0,3940.0,Enterocyte_Cell Type
7139.0,4637.0,Enterocyte_Cell Type
6127.0,3093.0,Enterocyte_Cell Type
8061.0,6389.0,Enterocyte_Cell Type
5998.0,1323.0,Enterocyte_Cell Type
7382.0,7143.0,Enterocyte_Cell Type
7592.0,6656.0,Enterocyte_Cell Type
7928.0,6227.0,Enterocyte_Cell Type
6275.0,1440.0,Enterocyte_Cell Type
8509.0,6042.0,Enterocyte_Cell Type
5774.0,116.0,Enterocyte_Cell Type
5999.0,2467.0,Enterocyte_Cell Type
5736.0,358.0,Enterocyte_Cell Type
5658.0,217.0,Enterocyte_Cell Type
7054.0,2915.0,Enterocyte_Cell Type
8493.0,8708.0,Enterocyte_Cell Type
6071.0,3174.0,Enterocyte_Cell Type
7699.0,6493.0,Enterocyte_Cell Type
6136.0,2940.0,Enterocyte_Cell Type
7483.0,4303.0,Enterocyte_Cell Type
6828.0,2678.0,Enterocyte_Cell Type
8169.0,8505.0,Enterocyte_Cell Type
6354.0,1544.0,Enterocyte_Cell Type
6907.0,2601.0,Enterocyte_Cell Type
7311.0,2843.0,Enterocyte_Cell Type
6429.0,8055.0,Enterocyte_Cell Type
8097.0,8383.0,Enterocyte_Cell Type
7661.0,8358.0,Enterocyte_Cell Type
6115.0,1941.0,Enterocyte_Cell Type
7676.0,8685.0,Enterocyte_Cell Type
6389.0,2916.0,Enterocyte_Cell Type
7320.0,3340.0,Enterocyte_Cell Type
7118.0,5211.0,Enterocyte_Cell Type
8170.0,5756.0,Enterocyte_Cell Type
7811.0,7268.0,Enterocyte_Cell Type
7268.0,2675.0,Enterocyte_Cell Type
5993.0,2429.0,Enterocyte_Cell Type
5981.0,561.0,Enterocyte_Cell Type
4729.0,7361.0,Enterocyte_Cell Type
6444.0,5379.0,Enterocyte_Cell Type
7161.0,2872.0,Enterocyte_Cell Type
6209.0,1892.0,Enterocyte_Cell Type
5205.0,690.0,Enterocyte_Cell Type
6147.0,4725.0,Enterocyte_Cell Type
5607.0,2058.0,Enterocyte_Cell Type
6898.0,5598.0,Enterocyte_Cell Type
5805.0,644.0,Enterocyte_Cell Type
7002.0,3302.0,Enterocyte_Cell Type
7407.0,5594.0,Enterocyte_Cell Type
6841.0,4823.0,Enterocyte_Cell Type
7925.0,8600.0,Enterocyte_Cell Type
7535.0,5706.0,Enterocyte_Cell Type
5810.0,3031.0,Enterocyte_Cell Type
7165.0,3638.0,Enterocyte_Cell Type
6579.0,4462.0,Enterocyte_Cell Type
6740.0,4458.0,Enterocyte_Cell Type
7176.0,6603.0,Enterocyte_Cell Type
7038.0,3575.0,Enterocyte_Cell Type
8095.0,6747.0,Enterocyte_Cell Type
7681.0,8700.0,Enterocyte_Cell Type
812.0,8774.0,Enterocyte_Cell Type
8069.0,3467.0,Enterocyte_Cell Type
8039.0,478.0,Enterocyte_Cell Type
6911.0,6624.0,Enterocyte_Cell Type
7899.0,5311.0,Enterocyte_Cell Type
6976.0,3948.0,Enterocyte_Cell Type
6978.0,3092.0,Enterocyte_Cell Type
8142.0,8498.0,Enterocyte_Cell Type
6060.0,849.0,Enterocyte_Cell Type
8256.0,8487.0,Enterocyte_Cell Type
7995.0,6831.0,Enterocyte_Cell Type
7305.0,3995.0,Enterocyte_Cell Type
7762.0,6986.0,Enterocyte_Cell Type
6812.0,3863.0,Enterocyte_Cell Type
7986.0,8424.0,Enterocyte_Cell Type
6377.0,1555.0,Enterocyte_Cell Type
6971.0,2238.0,Enterocyte_Cell Type
8006.0,7159.0,Enterocyte_Cell Type
8214.0,8201.0,Enterocyte_Cell Type
5120.0,69.0,Enterocyte_Cell Type
7244.0,3599.0,Enterocyte_Cell Type
